year,outcode,property_type,n_i,avg_price,sd
2015.0,ST4,T,512,78926.828125,34290.21172672958
2015.0,ST5,D,304,247938.59539473685,155779.1275060049
2015.0,ST5,F,68,134194.85294117648,62615.339031802774
2015.0,ST5,O,42,515808.9285714286,544150.1130246604
2015.0,ST5,S,500,137483.21,46182.19229005171
2015.0,ST5,T,379,100920.71240105541,40877.90073223197
2015.0,ST6,D,163,168774.71779141104,53539.66079326742
2015.0,ST6,F,44,72210.22727272728,30553.326579333796
2015.0,ST6,O,30,1013687.0,3241173.2888986357
2015.0,ST6,S,359,104850.49860724233,35831.34773462681
2015.0,ST6,T,415,69977.09397590361,27547.990200472883
2015.0,ST7,D,339,232313.2005899705,95404.56881227177
2015.0,ST7,F,25,71130.0,35345.10810093339
2015.0,ST7,O,12,717640.6666666666,1142693.6972824212
2015.0,ST7,S,390,132852.4205128205,47251.58197025374
2015.0,ST7,T,167,109719.22155688623,48321.00654463605
