year,outcode,property_type,n,avg_price,sd,q05,q10,q15,q20,q25,q50,q75
2015.0,CR7,T,283,310603.6855123675,56660.13787090253,220105.6,25e4,26e4,27e4,277500.0,31e4,345e3
2015.0,CR8,D,199,734798.08040201,382223.5648841672,398e3,440400.0,474700.0,5e5,538e3,652e3,802500.0
2015.0,CR8,F,203,231787.44334975368,82651.65722806194,88650.0,11e4,153235.0,176980.00000000003,190500.0,237e3,272e3
2015.0,CR8,O,9,1304071.5555555555,1236516.5441188111,130600.0,190200.0,295000.00000000006,445000.00000000006,595e3,8e5,1698e3
2015.0,CR8,S,114,452793.4035087719,127342.02891701939,286300.0,312250.0,329750.0,355100.0,365e3,426324.0,51e4
2015.0,CR8,T,83,341662.8313253012,83506.56101429764,246400.0,26e4,270750.0,279040.0,288975.0,335e3,375e3
2015.0,CR9,O,8,21116235.25,25236330.117580973,1749224.6,1898449.2000000002,2087538.1999999997,2515813.6000000006,2944089.0,13232500.0,27141394.5
2015.0,CT1,D,55,431541.2727272727,162241.09271680453,208700.0,251e3,266e3,296e3,326e3,411e3,527500.0
2015.0,CT1,F,201,207695.83084577115,94114.03660959001,95e3,117500.0,125e3,145e3,152e3,195e3,227500.0
2015.0,CT1,O,22,1052436.6818181819,1547264.2623087212,16562.5,23500.0,37750.000000000015,7e4,81250.0,346544.5,1420068.25
2015.0,CT1,S,101,240258.1287128713,69720.9441220733,162e3,17e4,17e4,177500.0,182e3,23e4,265500.0
2015.0,CT1,T,169,245204.0650887574,85668.19979586118,155600.0,169e3,18e4,186900.0,198e3,23e4,275e3
2015.0,CT10,D,201,365556.50746268657,137761.33000683173,225e3,247e3,257500.0,265e3,28e4,34e4,42e4
2015.0,CT10,F,131,172653.5114503817,85460.62170041254,88125.0,106500.0,112e3,115500.0,12e4,152500.0,185e3
2015.0,CT10,O,3,525133.3333333334,435140.2685724838,126860.00000000006,173319.99999999997,219780.00000000003,266239.99999999994,312700.0,545e3,747500.0
2015.0,CT10,S,185,248612.55135135134,77231.06720890869,160500.0,172600.0,179998.0,189e3,195e3,235e3,271e3
2015.0,CT10,T,140,209980.27142857143,68785.66320547069,139750.0,149900.0,156850.0,163e3,166750.0,193500.0,23e4
2015.0,CT11,D,66,288131.74242424243,121921.53085076554,126250.0,167500.0,192500.0,21e4,218500.0,252500.0,363125.0
2015.0,CT11,F,188,122750.27659574468,60884.26355530425,55840.0,68850.0,78e3,84280.0,88500.0,113750.0,137125.0
2015.0,CT11,O,9,396749.55555555556,534244.0415854236,100800.0,121600.0,142400.0,163200.0,184e3,196e3,321873.0
2015.0,CT11,S,150,210037.68666666668,63152.07965119035,13e4,148800.0,16e4,164e3,17e4,197225.0,235e3
2015.0,CT11,T,334,176134.77844311378,70131.96852034994,11e4,122150.0,125e3,13e4,133187.5,158750.0,19e4
2015.0,CT12,D,73,261906.7123287671,69122.49189351374,161200.0,171800.0,199200.0,206200.0,21e4,255e3,305e3
2015.0,CT12,F,21,102804.76190476191,23309.74530513957,62500.0,69e3,79500.0,87500.0,9e4,107e3,116e3
2015.0,CT12,O,13,232030.76923076922,369373.8561958949,96e3,96600.0,98400.0,99e3,99e3,12e4,132e3
2015.0,CT12,S,135,185088.64444444445,49723.773163537226,133850.0,140400.0,145e3,147400.0,151e3,175e3,207e3
2015.0,CT12,T,78,164082.1923076923,39972.376135246224,119695.75,120875.0,127747.74999999999,134400.0,136025.0,154497.5,179375.0
2015.0,CT13,D,45,385054.22222222225,163836.22436665898,206800.0,240400.0,258600.0,277700.0,286e3,342e3,42e4
2015.0,CT13,F,16,205531.25,89583.75387498189,116250.0,135e3,137500.0,145e3,145e3,193500.0,219e3
2015.0,CT13,O,4,295e3,279880.9270624444,40499.999999999985,66e3,91499.99999999999,117000.00000000001,142500.0,245e3,397500.0
2015.0,CT13,S,39,233742.05128205128,88735.27492163617,145e3,174200.0,175e3,18e4,183500.0,2e5,248497.5
2015.0,CT13,T,64,279700.78125,110448.38465990861,155450.0,166500.0,177250.0,180600.0,192375.0,244500.0,343875.0
2015.0,CT14,D,195,355920.2051282051,128225.9289360155,2e5,218500.0,232e3,25e4,257e3,335e3,417500.0
2015.0,CT14,F,147,158585.46258503402,78167.44838050424,82300.0,9e4,97450.0,102500.0,105875.0,133500.0,190500.0
2015.0,CT14,O,10,336089.9,208047.29087955513,80750.0,96499.99999999999,109100.0,120799.99999999999,144e3,368499.5,463750.0
2015.0,CT14,S,283,222646.4664310954,71508.2108553914,148200.0,16e4,168650.0,175e3,18e4,215e3,249995.0
2015.0,CT14,T,350,218020.44285714286,87444.72236587934,130900.0,142950.0,150700.0,159860.0,164995.0,185e3,244250.0
2015.0,CT15,D,107,399087.80373831774,196639.84461851369,221500.0,245e3,262200.0,27e4,28e4,35e4,447500.0
2015.0,CT15,F,13,205615.38461538462,103809.35126594525,114200.0,118100.0,121400.0,123300.0,124500.0,16e4,26e4
2015.0,CT15,O,2,114125.0,1237.4368670764582,113337.5,113425.0,113512.5,113600.0,113687.5,114125.0,114562.5
2015.0,CT15,S,75,219668.53333333333,81630.34281911208,148496.5,151200.0,157100.0,164999.0,169e3,2e5,223750.0
2015.0,CT15,T,19,178657.8947368421,68422.51347968148,118e3,124e3,125e3,128e3,13e4,15e4,205e3
2015.0,CT16,D,103,285611.0970873786,77261.66452609871,195500.0,211760.0,225e3,23e4,235e3,27e4,31e4
2015.0,CT16,F,89,111125.61797752809,49759.83008080497,60370.0,69800.0,75e3,79300.0,82e3,94e3,118500.0
2015.0,CT16,O,4,180750.0,71233.7700813315,101450.0,110900.0,120350.0,129800.0,139250.0,192500.0,234e3
2015.0,CT16,S,96,204599.94791666666,61559.432500097806,123750.0,137497.5,146250.0,158500.0,163750.0,19e4,236250.0
2015.0,CT16,T,151,147261.21854304636,45016.26344421077,102750.0,11e4,116e3,12e4,122250.0,139e3,162e3
2015.0,CT17,D,54,240881.85185185185,63175.15660877839,155e3,161500.0,178e3,19e4,2e5,237500.0,273750.0
2015.0,CT17,F,67,100097.01492537314,46892.9502039817,25e3,42500.0,51800.0,54e3,67500.0,96e3,144e3
2015.0,CT17,O,7,322142.85714285716,238953.57190008592,46e3,52e3,58e3,94000.00000000003,145e3,38e4,407500.0
2015.0,CT17,S,79,180204.6075949367,46053.58214983091,109500.0,119800.0,124400.0,138200.0,145e3,175e3,216250.0
2015.0,CT17,T,227,126205.99118942731,34733.858449593274,8e4,9e4,95e3,98100.0,104500.0,122500.0,141e3
