outcode,property_type,n,avg_price,sd,q05,q10,q15,q20,q25,q50,q75
CH46,T,150,102905.66666666667,23616.102270809304,68612.5,75e3,79967.5,81800.0,84962.5,105e3,116875.0
CH47,D,66,437537.8787878788,253596.78717641602,203875.0,231e3,247487.5,26e4,27e4,364750.0,479e3
CH47,F,98,158107.4693877551,72111.75286027603,73700.0,8e4,89650.0,96800.0,107250.0,139e3,194375.0
CH47,O,15,170500.0,105219.66817771558,77e3,88e3,1e5,1e5,105e3,122e3,206e3
CH47,S,133,283377.4962406015,104664.8618794136,159400.0,177770.0,189990.0,198e3,212e3,265e3,334250.0
CH47,T,83,216848.19277108434,98791.43880337222,122200.0,13e4,134e3,137500.0,14e4,18e4,255750.0
CH48,D,184,483333.60326086957,241911.306289199,24e4,255750.0,274450.0,291800.0,314415.0,410771.5,6e5
CH48,F,155,177967.67741935485,90514.01954852258,75400.0,84300.0,95e3,1e5,115e3,16e4,225e3
CH48,O,11,315636.36363636365,423752.5864764185,12500.0,15e3,19e3,23e3,32500.0,195e3,333500.0
CH48,S,138,257885.92028985507,137532.40533450939,14e4,154700.0,164550.0,170021.2,175e3,226250.0,29e4
CH48,T,93,209679.05376344087,92715.25096748902,116800.0,125200.0,134800.0,139400.0,143e3,171500.0,25e4
CH49,D,200,242161.19,69801.60823652934,141900.0,159995.0,174625.0,188900.0,196500.0,231750.0,275e3
CH49,F,83,68656.02409638555,24550.96912993303,43e3,45e3,46e3,48300.0,52750.0,62500.0,73250.0
CH49,O,4,360420.0,562811.7378543795,15577.99999999999,30476.000000000004,45373.99999999999,60272.00000000001,75170.0,120500.0,405750.0
CH49,S,454,163055.98678414096,42953.77750631063,1e5,12e4,126900.00000000001,134e3,139612.5,155500.0,18e4
CH49,T,161,103744.34782608696,28717.82842988412,7e4,76e3,8e4,82500.0,84500.0,97e3,117e3
CH5,D,474,215214.45569620252,82131.85297788243,118e3,129965.0,140950.0,15e4,16e4,2e5,260712.5
CH5,F,37,102925.4054054054,46773.786779479306,58500.0,59600.0,60400.0,63999.99999999999,7e4,105e3,123e3
CH5,O,34,1714683.1764705882,4633545.207766031,27950.0,58600.0,115100.0,141997.40000000002,15e4,351500.0,1357500.0
CH5,S,513,133994.77192982455,34430.788002275636,87840.0,97200.0,101900.0,107851.0,112500.0,128e3,15e4
CH5,T,250,112619.516,35120.66574453138,66900.0,75e3,8e4,82400.0,85e3,105e3,133562.5
CH6,D,170,190571.38235294117,51476.12077229774,125e3,135e3,143700.0,148400.0,155625.0,18e4,22e4
CH6,F,1,89e3,NA,89e3,89e3,89e3,89e3,89e3,89e3,89e3
CH6,O,9,515555.55555555556,846704.8055714446,104e3,108e3,123000.00000000001,149e3,175e3,275e3,275e3
CH6,S,238,116930.67226890757,25872.395940423576,72425.0,85e3,9e4,95e3,1e5,116750.0,133496.25
CH6,T,98,97117.5,25296.93752348316,65850.0,68500.0,72775.0,75e3,77e3,93e3,119712.5
CH60,D,252,428726.54761904763,149947.7327456587,234600.0,273200.0,291950.0,31e4,325e3,399e3,505125.0
CH60,F,82,139153.65853658537,62732.213937196655,70100.0,73200.0,79500.0,97100.0,103250.0,13e4,155e3
CH60,O,7,370703.28571428574,276380.43400761584,8660.5,11806.000000000002,14951.499999999998,92800.00000000007,208e3,41e4,506704.0
CH60,S,146,245367.93835616438,86957.78570248286,15e4,159750.0,166500.0,18e4,19e4,226750.0,279711.25
CH60,T,26,187011.53846153847,71690.55908233985,120625.0,123750.0,125e3,149950.0,150250.0,164e3,213750.0
CH61,D,144,268615.15972222225,190312.6620082138,156200.0,173600.0,181500.0,187400.0,198837.5,239e3,285250.0
CH61,F,18,117333.33333333333,63672.18434154376,66700.0,7e4,7e4,72800.0,78e3,89e3,130500.0
CH61,O,6,5049416.666666667,11591801.104300689,12875.0,22750.0,32625.0,42500.0,50875.0,333e3,811250.0
CH61,S,393,186524.63867684477,44310.57961339744,131200.0,14e4,146800.0,15e4,155e3,178e3,215e3
CH61,T,57,144788.1754385965,54460.450444442045,105600.0,117300.0,122e3,124600.0,125e3,135e3,149950.0
CH62,D,128,277034.453125,77380.43041947555,165842.5,184700.0,199047.5,214400.0,225248.75,272250.0,32e4
